WEEK_FUEL,DATE,MYR,,,,
2019-07-27,2019-07-26,4.1195,,,,
2019-07-20,2019-07-19,4.1135,,,,
2019-07-13,2019-07-12,4.1130,,,,
2019-07-06,2019-07-05,4.1355,,,,
2019-06-29,2019-06-28,4.1325,,,,
2019-06-22,2019-06-21,4.1495,,,,
2019-06-15,2019-06-14,4.1670,,,,
2019-06-01,2019-05-31,4.1905,,,,
2019-05-25,2019-05-24,4.1885,,,,
2019-05-18,2019-05-17,4.1765,,,,
2019-05-11,2019-05-10,4.1585,,,,
2019-05-04,2019-05-03,4.1425,,,,
2019-04-27,2019-04-26,4.1325,,,,
2019-04-20,2019-04-19,4.1325,,,,
2019-04-13,2019-04-12,4.1145,,,,
2019-04-06,2019-04-05,4.0885,,,,
2019-03-30,2019-03-29,4.0825,,,,
2019-03-23,2019-03-22,4.0645,,,,
2019-03-16,2019-03-15,4.0915,,,,
2019-03-09,2019-03-08,4.0910,,,,
2019-03-02,2019-03-01,4.0745,,,,
2019-02-23,2019-02-22,4.0785,,,,
2019-02-16,2019-02-15,4.0850,,,,
2019-02-09,2019-02-08,4.0695,,,,
2019-02-02,2019-02-01,4.0960,,,,
2019-01-26,2019-01-25,4.1250,,,,
2019-01-19,2019-01-18,4.1125,,,,
2019-01-12,2019-01-11,4.0960,,,,
2019-01-04,2019-01-04,4.1355,,,,
2018-12-01,2019-01-01,4.1325,,,,
2018-11-01,2018-11-01,4.1795,,,,
2018-10-01,2018-10-01,4.1400,,,,
2018-09-01,2018-08-31,4.1095,,,,
2018-08-30,2018-08-30,4.1095,,,,
2018-08-23,2018-08-23,4.1050,,,,
2018-08-16,2018-08-16,4.1050,,,,
2018-08-09,2018-08-09,4.0755,,,,
2018-08-02,2018-08-02,4.0760,,,,
2018-07-26,2018-07-26,4.0605,,,,
2018-07-19,2018-07-19,4.0635,,,,
2018-07-12,2018-07-12,4.0410,,,,
2018-07-05,2018-07-05,4.0430,,,,
2018-06-28,2018-06-28,4.0425,,,,
2018-06-21,2018-06-21,4.0155,,,,
2018-06-14,2018-06-14,3.9855,,,,
2018-06-07,2018-06-07,3.9765,,,,
2018-05-16,2018-05-16,3.9675,,,,
2018-05-10,2018-05-10,3.9505,,,,
2018-05-03,2018-05-03,3.9330,,,,
2018-04-26,2018-04-26,3.9175,,,,
2018-04-19,2018-04-19,3.8905,,,,
2018-04-12,2018-04-12,3.8765,,,,
2018-04-05,2018-04-05,3.8665,,,,
2018-03-29,2018-03-29,3.8680,,,,
2018-03-22,2018-03-22,3.9140,,,,
2018-03-15,2018-03-15,3.9195,,,,
2018-03-08,2018-03-08,3.9085,,,,
2018-03-01,2018-03-01,3.9285,,,,
2018-02-22,2018-02-22,3.9170,,,,
2018-02-15,2018-02-15,3.8945,,,,
2018-02-08,2018-02-08,3.9260,,,,
2018-02-01,2018-02-01,3.9010,,,,
2018-01-25,2018-01-25,3.8855,,,,
2018-01-18,2018-01-18,3.9555,,,,
2018-01-11,2018-01-11,3.9875,,,,
2018-01-04,2018-01-04,4.0065,,,,
